ts,intent,action,status,artifact_path
20250913T215441,,ml_signal,ok,
20250913T215441,,ml_signal,ok,
20250913T215441,,ml_signal,ok,
20250913T215441,,ml_signal,ok,
20250913T215441,,ml_signal,ok,
20250913T215441,,ml_signal,ok,
20250913T212803,,ml_signal,ok,
20250913T212803,,ml_signal,ok,
20250913T212803,,ml_signal,ok,
20250913T212803,,ml_signal,ok,
20250913T212803,,ml_signal,ok,
20250913T212803,,ml_signal,ok,
20250913T210753,,ml_signal,ok,
20250913T210753,,ml_signal,ok,
20250913T210753,,ml_signal,ok,
20250913T210753,,ml_signal,ok,
20250913T210753,,ml_signal,ok,
20250913T210753,,ml_signal,ok,
2025-09-13T023049,資料異動,change_request,ok,reports_auto/actions/change_requests/20250913T023049.json
2025-09-13T023049,規則詢問,policy_reply,ok,reports_auto/actions/email/20250913T023049.eml
2025-09-13T023049,技術支援,create_ticket,ok,reports_auto/actions/tickets/20250913T023049_P3.json
2025-09-13T023049,投訴,create_ticket,ok,reports_auto/actions/tickets/20250913T023049_P3.json
2025-09-13T023049,報價,quote_reply,ok,reports_auto/actions/quotes/20250913T023049.pdf
2025-09-13T023049,一般回覆,reply_email,ok,reports_auto/actions/email/20250913T023049.eml
2025-09-13T023049,,hitl_queue,ok,
2025-09-13T023049,,hitl_queue,ok,
2025-09-13T023049,,hitl_queue,ok,
2025-09-13T023049,,hitl_queue,ok,
2025-09-13T023048,,hitl_queue,ok,
2025-09-13T023048,,hitl_queue,ok,
2025-09-13T023047,資料異動,change_request,ok,reports_auto/actions/change_requests/20250913T023047.json
2025-09-13T023047,規則詢問,policy_reply,ok,reports_auto/actions/email/20250913T023047.eml
2025-09-13T023047,技術支援,create_ticket,ok,reports_auto/actions/tickets/20250913T023047_P3.json
2025-09-13T023047,投訴,create_ticket,ok,reports_auto/actions/tickets/20250913T023047_P3.json
2025-09-13T023047,報價,quote_reply,ok,reports_auto/actions/quotes/20250913T023047.pdf
2025-09-13T023047,一般回覆,reply_email,ok,reports_auto/actions/email/20250913T023047.eml
2025-09-13T021222,資料異動,change_request,ok,reports_auto/actions/change_requests/2025-09-13T021222.json
2025-09-13T021222,報價,quote_reply,ok,reports_auto/actions/quotes/20250913T021222.pdf
2025-09-13T021222,,hitl_queue,ok,
2025-09-13T021222,,hitl_queue,ok,
2025-09-13T021221,,hitl_queue,ok,
2025-09-13T021221,,hitl_queue,ok,
2025-09-13T021221,,hitl_queue,ok,
2025-09-13T021221,,hitl_queue,ok,
2025-09-13T021220,資料異動,change_request,ok,reports_auto/actions/change_requests/2025-09-13T021220.json
2025-09-13T021220,報價,quote_reply,ok,reports_auto/actions/quotes/20250913T021220.pdf
2025-09-13T020701,資料異動,change_request,ok,reports_auto/actions/change_requests/2025-09-13T020701.json
2025-09-13T020701,報價,quote_reply,ok,reports_auto/actions/quotes/20250913T020701.pdf
2025-09-13T020701,,hitl_queue,ok,
2025-09-13T020701,,hitl_queue,ok,
